date	Median Sale Price	T+1	T+3	T+2
2011-09-30	150.0	143.7181570522519	150.4910562601252	148.49028957322832
2011-10-31	149.0	157.29927601654376	154.30376207247286	160.45843600171494
2011-11-30	145.0	150.79198362685383	146.57273037939237	144.1528474599962
2011-12-31	150.0	136.86357636787696	138.84244858665218	138.78675748133637
2012-01-31	139.0	150.45413618596174	150.8429473366366	150.8958974070567
2012-02-29	147.0	146.48922538622193	149.12556920634307	142.48948428472846
2012-03-31	151.0	142.58765315525537	150.66970797146166	149.5137871992993
2012-04-30	153.0	153.76143485459144	163.29791400567913	157.0183299514817
2012-05-31	158.0	156.60455471316152	159.52388724680995	162.77349786653562
2012-06-30	165.0	163.58752210917936	156.71956886138437	160.63424290017417
2012-07-31	160.0	161.6534779182861	156.53189718527014	157.62497767372005
2012-08-31	155.0	156.9232691415965	157.32596799493118	155.56506300836773
2012-09-30	152.0	154.31160933938747	155.27665573544144	155.88505608864565
2012-10-31	151.0	154.69679435639907	152.62486774280933	153.76491608262083
2012-11-30	156.0	151.4714669132613	144.08504147828293	149.92698766893056
2012-12-31	157.0	151.8910564938845	151.3151503884454	147.45677337205476
2013-01-31	147.0	150.08895649767854	156.84553139474366	155.15336466828947
2013-02-28	155.0	153.3704259347659	158.46597635078462	154.61548303457823
2013-03-31	155.0	155.55825903296702	162.88224482230618	159.7005226867547
2013-04-30	162.0	159.39112925364043	166.40320884245304	162.45659021980396
2013-05-31	168.0	163.91822485795248	163.04969363620867	168.3253277006562
2013-06-30	174.0	170.79429615275885	164.7270716535711	166.22451906687266
2013-07-31	173.0	168.22595766637497	165.3975240522385	167.0180196923056
2013-08-31	169.0	169.91063449141032	167.71097406951586	168.91479299328307
2013-09-30	161.0	168.3209110314786	167.79860830333743	166.99052950515042
2013-10-31	163.0	162.1471773292899	165.48018778051875	162.48363637031034
2013-11-30	165.0	163.0058228573291	155.55942801316743	166.12476227158413
2013-12-31	168.0	167.4193838683811	165.05736698448052	157.08800882022305
2014-01-31	159.0	157.47328111671757	167.18735441989458	165.50827140353596
2014-02-28	167.0	166.52204898782767	173.20555503137433	168.37498303478554
2014-03-31	167.0	168.69141628883372	179.15429185558068	173.57714592779078
2014-04-30	174.0	172.4717951432002	184.347964271982	177.86890501492476
2014-05-31	180.0	178.8933598062335	182.81036635314194	185.53944173658417
2014-06-30	182.0	186.27339238740055	179.25486822584782	183.67973262084521
2014-07-31	180.0	180.8448544222383	170.146792888014	175.9434165064697
2014-08-31	175.0	175.37957399368526	170.24538452344393	169.49714505268156
2014-09-30	180.0	169.24688421546563	173.2037122966135	169.95126215115758
2014-10-31	169.0	176.9212659706768	183.21646381235846	181.56838458344401
2014-11-30	176.0	177.53953136766128	168.8730356453644	177.3290063431692
2014-12-31	178.0	176.5369566862901	175.44943835594577	167.72780887010205
2015-01-31	179.0	168.5696765470526	176.56192042407775	176.5562924811105
2015-02-28	188.0	182.6045163618193	190.6757688894847	184.4538386842238
2015-03-31	185.0	187.6284584044509	200.7152127867816	194.76650156166642
2015-04-30	187.0	193.12149297534694	202.63616350495883	198.70224414409725
2015-05-31	200.0	194.78974727684346	196.5979709328055	197.92474526607475
2015-06-30	200.0	201.1177983555914	195.63337245190408	200.57302219194398
2015-07-31	200.0	199.89530499974498	194.25556389430707	194.7750060168866
2015-08-31	197.0	194.83906195253888	188.98190771116734	194.33276495242916
2015-09-30	192.0	195.63468412925963	195.32542962277446	190.63188824214743
2015-10-31	185.0	188.66570831255282	195.41108751567123	192.71072772514157
2015-11-30	183.0	190.4477126069513	189.1744824632231	192.6292017606319
2015-12-31	191.0	187.91570149841877	192.3210735608667	183.44819273468238
2016-01-31	184.0	185.33843908097919	192.74715615147176	194.6932361222196
2016-02-29	190.0	193.8455346463409	196.231115428823	191.72569436050847
2016-03-31	198.0	189.37293533846167	203.2018684233038	193.38390933820182
2016-04-30	198.0	198.69690557791628	210.15324654427172	209.75318544647325
2016-05-31	205.0	209.3631576006311	208.94384457540448	209.63684422631346
2016-06-30	210.0	206.9594011462357	201.742257342794	205.5952812658302
2016-07-31	206.0	207.45200999938095	203.7888514579659	204.06439130916513
2016-08-31	205.0	203.18522290768743	193.88506557759118	202.69103987740357
2016-09-30	200.0	203.75479586454819	197.50631322409993	195.2479708474096
2016-10-31	200.0	193.01646070502977	199.97917749979055	194.5145081997884
2016-11-30	195.0	198.4943477256723	201.3696356569602	205.25063969213136
2016-12-31	202.0	203.39860606271964	206.70803806441995	198.69481213520243
2017-01-31	190.0	197.93223190550927	208.41167917131344	205.66569091599584
2017-02-28	198.0	201.11019397993675	204.1960618892767	202.5686665798593
2017-03-31	197.0	200.9595739874433	211.4794839052326	201.9501205722394
2017-04-30	210.0	199.64144509640568	211.66435335530483	208.59150267621118
2017-05-31	212.0	214.11533814447768	216.04270433952067	219.43024211339235
