date	San Diego, CA metro area All Residential Median Sale Price	Trend Seasonality T+2	Trend Seasonality T+3	Trend Seasonality T+1
2011-09-30	311.0	320.13561527875186	323.40376988898134	316.2575480505568
2011-10-31	310.0	317.2571336844997	320.6755240193061	316.6020221362588
2011-11-30	310.0	309.7424085131239	313.5150392979268	306.37048119167684
2011-12-31	310.0	314.3394569398272	319.6932068822657	311.1287944667036
2012-01-31	302.0	307.51698619382216	311.8259657351764	301.01820564457563
2012-02-29	303.0	308.79237440986975	312.3537899008196	303.5661371506625
2012-03-31	322.0	327.2200515763976	333.5276852754091	326.09079628932875
2012-04-30	326.0	332.45533478995844	338.9687512411302	327.3023980356205
2012-05-31	332.0	341.4428801573883	347.5205471043732	336.87647688421833
2012-06-30	335.0	346.9044224534302	354.0803530020031	343.03367907953935
2012-07-31	344.0	353.1136953590656	355.21701383494394	347.4127035009633
2012-08-31	345.0	349.4313456509031	354.7755102579647	348.56509475401566
2012-09-30	350.0	352.04594824562963	349.6278975294113	346.72639713247503
2012-10-31	355.0	354.1792748068485	356.78711172602584	357.0154452522745
2012-11-30	356.0	357.3946962805918	359.67565811885095	355.5948216367508
2012-12-31	370.0	366.3408216915944	367.0511350956778	362.973319346642
2013-01-31	355.0	365.79451113047463	366.97286254440763	364.7196038016917
2013-02-28	358.0	369.68657045409753	368.8874086519317	368.04552527352905
2013-03-31	385.0	396.21983175058654	394.4386053684484	395.9580508465363
2013-04-30	400.0	403.7286859605455	400.23507744800764	404.9508296201306
2013-05-31	415.0	411.0204716864288	410.37830174196887	414.2224989004232
2013-06-30	417.0	419.00480311533636	415.5361812030246	419.6484674663501
2013-07-31	425.0	426.081899394643	420.8766491086576	428.6614089778744
2013-08-31	420.0	421.4547180575762	417.93968248752736	426.63316659802285
2013-09-30	425.0	421.80014591238535	411.0327851438135	423.43919283962686
2013-10-31	412.0	413.31810791722364	408.9173404060016	422.0244898418361
2013-11-30	415.0	412.8991198604048	408.37867225089104	413.0476122344369
2013-12-31	416.0	418.86265608798584	420.299368845872	422.1512432809951
2014-01-31	407.0	419.61046590930397	415.1034081890421	417.5128492833423
2014-02-28	412.0	415.11372989922836	417.88014000303946	419.78987471774116
2014-03-31	430.0	437.16109479655717	431.95469680491135	434.36541449073417
2014-04-30	439.0	439.50332460477136	442.8308563120388	444.1388432329898
2014-05-31	440.0	443.96514346452386	444.05412081802217	442.0030847898576
2014-06-30	450.0	449.86887388756116	451.24904543832685	449.1643667945629
2014-07-31	450.0	450.3361401159442	451.29611937968093	449.0546236322193
2014-08-31	449.0	444.5481152910763	446.52705669714896	444.2415490415276
2014-09-30	450.0	447.89281041848517	443.5682565600239	444.5704923443387
2014-10-31	445.0	442.01256771935465	440.9017928008181	446.1139990186757
2014-11-30	435.0	441.9365714705612	447.2006541382849	441.82048980319377
2014-12-31	440.0	445.7846107521002	445.4204823619917	438.8069683102863
2015-01-31	445.0	442.91183675922485	444.50022745421853	442.5425485103047
2015-02-28	442.0	444.9957975400622	449.2839440883791	445.1631517534131
2015-03-31	460.0	464.0846609111582	466.0491210345156	461.67137013880256
2015-04-30	460.0	468.93436715432887	472.8444955289359	468.7483420723925
2015-05-31	468.0	469.9827338758399	471.4218863943202	468.179333815353
2015-06-30	483.0	475.7832669031051	474.46251473749396	475.7404935109121
2015-07-31	476.0	475.95110188451133	481.96000329756987	479.4270245719281
2015-08-31	470.0	477.73911902586167	481.73822273352624	474.9325372192517
2015-09-30	465.0	477.93410918335127	476.147533415348	473.53770586499314
2015-10-31	461.0	473.1762582235673	472.5560412898062	475.1754390835399
2015-11-30	475.0	471.3893265447374	475.30376705980194	472.4104688775318
2015-12-31	470.0	479.89672198071474	482.8879705066803	476.0696823285363
2016-01-31	475.0	474.9528348514199	477.3782943464777	472.14183972230524
2016-02-29	465.0	473.7499227989241	473.6620468028554	471.7039555264944
2016-03-31	485.0	492.51956444304994	489.37268411957433	491.7160452062451
2016-04-30	496.0	496.76906610741685	500.28269582741586	499.69828239418683
2016-05-31	500.0	503.56124434628055	501.8319328742872	500.3409585824156
2016-06-30	499.0	498.9030157045845	503.9443119615306	502.3525181793277
2016-07-31	500.0	505.91695501902336	507.1216694105585	500.43112445972764
2016-08-31	500.0	502.5316970926407	505.3789546493218	500.7472555709939
2016-09-30	500.0	504.11696786721916	504.5098546867045	502.2792288120152
2016-10-31	517.0	506.64936156788826	507.6868976542916	507.51615223737946
2016-11-30	499.0	502.03978618377175	509.3970022728753	500.63660112899765
2016-12-31	505.0	513.3119740723721	515.497558667712	507.3596956813165
2017-01-31	510.0	513.6447900626463	518.2934522498343	510.31789429361277
2017-02-28	505.0	515.9591067344493	514.9915834223311	511.9468687798146
